assessment_name,url,description,test_type,duration_minutes,remote_support,adaptive_support
Inductive Reasoning,https://www.shl.com/products/assessments/inductive-reasoning/,SHL individual assessment,Mixed,,Yes,Yes
Inductive Reasoning Advanced,https://www.shl.com/products/assessments/inductive-reasoning-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Inductive Reasoning Professional,https://www.shl.com/products/assessments/inductive-reasoning-professional/,SHL individual assessment,Mixed,,Yes,Yes
Inductive Reasoning Short Form,https://www.shl.com/products/assessments/inductive-reasoning-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Motivational Questionnaire,https://www.shl.com/products/assessments/motivational-questionnaire/,SHL individual assessment,Mixed,,Yes,Yes
Motivational Questionnaire Advanced,https://www.shl.com/products/assessments/motivational-questionnaire-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Motivational Questionnaire Professional,https://www.shl.com/products/assessments/motivational-questionnaire-professional/,SHL individual assessment,Mixed,,Yes,Yes
Motivational Questionnaire Short Form,https://www.shl.com/products/assessments/motivational-questionnaire-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Numerical Reasoning,https://www.shl.com/products/assessments/numerical-reasoning/,SHL individual assessment,Mixed,,Yes,Yes
Numerical Reasoning Advanced,https://www.shl.com/products/assessments/numerical-reasoning-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Numerical Reasoning Professional,https://www.shl.com/products/assessments/numerical-reasoning-professional/,SHL individual assessment,Mixed,,Yes,Yes
Numerical Reasoning Short Form,https://www.shl.com/products/assessments/numerical-reasoning-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Opq32R,https://www.shl.com/products/assessments/opq32r/,SHL individual assessment,Mixed,,Yes,Yes
Opq32R Advanced,https://www.shl.com/products/assessments/opq32r-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Opq32R Professional,https://www.shl.com/products/assessments/opq32r-professional/,SHL individual assessment,Mixed,,Yes,Yes
Opq32R Short Form,https://www.shl.com/products/assessments/opq32r-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Situational Judgement,https://www.shl.com/products/assessments/situational-judgement/,SHL individual assessment,Mixed,,Yes,Yes
Situational Judgement Advanced,https://www.shl.com/products/assessments/situational-judgement-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Situational Judgement Professional,https://www.shl.com/products/assessments/situational-judgement-professional/,SHL individual assessment,Mixed,,Yes,Yes
Situational Judgement Short Form,https://www.shl.com/products/assessments/situational-judgement-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Verbal Reasoning,https://www.shl.com/products/assessments/verbal-reasoning/,SHL individual assessment,Mixed,,Yes,Yes
Verbal Reasoning Advanced,https://www.shl.com/products/assessments/verbal-reasoning-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Verbal Reasoning Professional,https://www.shl.com/products/assessments/verbal-reasoning-professional/,SHL individual assessment,Mixed,,Yes,Yes
Verbal Reasoning Short Form,https://www.shl.com/products/assessments/verbal-reasoning-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Verify G,https://www.shl.com/products/assessments/verify-g/,SHL individual assessment,Mixed,,Yes,Yes
Verify G Advanced,https://www.shl.com/products/assessments/verify-g-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Verify G Professional,https://www.shl.com/products/assessments/verify-g-professional/,SHL individual assessment,Mixed,,Yes,Yes
Verify G Short Form,https://www.shl.com/products/assessments/verify-g-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Verify Inductive,https://www.shl.com/products/assessments/verify-inductive/,SHL individual assessment,Mixed,,Yes,Yes
Verify Inductive Advanced,https://www.shl.com/products/assessments/verify-inductive-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Verify Inductive Professional,https://www.shl.com/products/assessments/verify-inductive-professional/,SHL individual assessment,Mixed,,Yes,Yes
Verify Inductive Short Form,https://www.shl.com/products/assessments/verify-inductive-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Verify Numerical,https://www.shl.com/products/assessments/verify-numerical/,SHL individual assessment,Mixed,,Yes,Yes
Verify Numerical Advanced,https://www.shl.com/products/assessments/verify-numerical-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Verify Numerical Professional,https://www.shl.com/products/assessments/verify-numerical-professional/,SHL individual assessment,Mixed,,Yes,Yes
Verify Numerical Short Form,https://www.shl.com/products/assessments/verify-numerical-short-form/,SHL individual assessment,Mixed,,Yes,Yes
Verify Verbal,https://www.shl.com/products/assessments/verify-verbal/,SHL individual assessment,Mixed,,Yes,Yes
Verify Verbal Advanced,https://www.shl.com/products/assessments/verify-verbal-advanced/,SHL individual assessment,Mixed,,Yes,Yes
Verify Verbal Professional,https://www.shl.com/products/assessments/verify-verbal-professional/,SHL individual assessment,Mixed,,Yes,Yes
Verify Verbal Short Form,https://www.shl.com/products/assessments/verify-verbal-short-form/,SHL individual assessment,Mixed,,Yes,Yes
